cell_id,time_point,x_blue,y_blue,z_blue,x_green,y_green,z_green,x_Rij,y_Rij,z_Rij,red,state
0.0,0.0,-179.72,-863.38,82477.0,-523.18,-1056.5,82102.0,245.26,-42.42,189.15,0.060363,0.0
0.0,1.0,-1493.4,-904.29,81952.0,-1415.4,-984.14,81849.0,-176.18,-156.27,-77.7,0.11261,0.0
0.0,2.0,-597.19,-853.08,82264.0,-328.09,-1087.1,82493.0,-367.59,-1.41,-415.76,0.25437,0.0
0.0,3.0,-480.45,-442.28,82430.0,-918.61,-841.99,81353.0,340.2,164.23,895.52,0.29161,2.0
0.0,4.0,-874.26,-668.42,81954.0,-1084.5,-254.66,81453.0,109.61,-647.09,297.37,0.44222,2.0
0.0,5.0,-602.51,-262.18,82455.0,-821.56,-786.04,82021.0,117.62,291.03,224.29,0.47587,2.0
0.0,6.0,-1383.8,-394.96,81570.0,-1278.3,-828.48,81388.0,-206.1,199.89,-18.5,0.32623,2.0
0.0,7.0,-1442.7,62.36,81289.0,-1509.6,-665.76,81339.0,-33.31,494.57,-248.21,0.28357,2.0
0.0,8.0,-2084.2,-243.28,81333.0,-1868.8,-975.06,81487.0,-316.26,497.96,-352.04,0.36667,2.0
0.0,9.0,-1703.6,-708.06,81880.0,-2092.2,-840.36,81793.0,287.3,-101.48,-117.29,0.45111,2.0
0.0,10.0,-1268.3,-1074.8,82592.0,-1155.7,-1249.2,82043.0,-214.2,-59.4,338.27,0.4489,2.0
0.0,11.0,-786.9,-807.03,82461.0,-914.33,-1122.0,82179.0,26.07,81.5,70.98,0.28751,2.0
0.0,12.0,-898.06,-407.72,81722.0,-903.27,-888.83,81182.0,-94.69,247.02,340.55,0.4197,2.0
0.0,13.0,-428.81,-497.95,80626.0,-874.69,-835.07,80332.0,347.43,102.05,105.62,0.43341,2.0
0.0,14.0,-685.12,-143.98,80899.0,-825.52,-541.6,81200.0,41.05,163.68,-496.94,0.5046,2.0
0.0,15.0,-1321.8,-592.59,80599.0,-989.03,-882.32,80007.0,-431.3,54.51,406.84,0.14486,0.0
0.0,16.0,-637.42,5.04,80624.0,-900.59,-523.0,80512.0,164.69,293.71,-77.31,0.049968,0.0
0.0,17.0,-1982.0,-32.23,79541.0,-1770.2,-530.36,79091.0,-310.56,263.49,264.84,0.10949,0.0
0.0,18.0,-1129.2,-398.2,78836.0,-1298.3,-844.42,79133.0,70.96,211.0,-477.89,0.11059,0.0
0.0,19.0,-1474.2,49.86,79952.0,-1409.6,-266.09,79934.0,-164.24,82.58,-175.53,0.062303,0.0
0.0,20.0,-980.43,-236.09,79840.0,-473.58,-378.54,79592.0,-605.8,-91.49,56.55,0.13311,0.0
0.0,21.0,-543.1,207.46,79913.0,-698.8,15.38,79642.0,56.77,-41.07,78.91,0.21919,0.0
0.0,22.0,-796.31,480.27,79775.0,-1004.5,79.13,79007.0,109.57,167.98,580.75,0.12101,0.0
0.0,23.0,-732.2,-23.85,80453.0,-1362.7,-133.35,79874.0,530.48,-123.26,383.07,0.092533,0.0
0.0,24.0,-1305.4,310.94,79988.0,-1637.5,-36.57,79740.0,232.12,114.7,55.18,0.14159,0.0
0.0,25.0,-2085.7,1048.6,79526.0,-2036.2,607.93,79342.0,-149.15,208.26,-2.2,0.16171,0.0
0.0,26.0,-1602.6,762.52,79829.0,-1558.8,241.72,79783.0,-144.03,288.77,-145.38,0.10322,0.0
0.0,27.0,-1446.8,835.21,78538.0,-1808.5,501.51,78751.0,262.92,100.77,-390.01,0.099548,0.0
0.0,28.0,-1671.2,811.14,78203.0,-1882.3,732.43,78158.0,113.05,-154.47,-125.72,0.1436,0.0
0.0,29.0,-1341.8,1136.1,77624.0,-1379.0,1330.6,78214.0,-60.38,-427.17,-758.5,0.0901,0.0
0.0,30.0,-1665.2,1027.4,78520.0,-1616.2,944.32,78097.0,-148.98,-148.27,237.54,0.13434,0.0
0.0,31.0,-2008.0,997.49,77956.0,-1985.8,553.1,78283.0,-122.2,212.57,-508.88,0.17771,0.0
0.0,32.0,-1962.3,1391.2,78196.0,-1999.2,941.44,78626.0,-63.69,218.71,-616.28,0.1391,0.0
1.0,0.0,1105.8,1310.6,82433.0,1088.3,1249.3,81913.0,-66.45,-172.0,324.61,0.34662,0.0
1.0,1.0,1303.7,1414.5,81992.0,1441.0,1221.7,82086.0,-221.02,-40.63,-287.86,0.092526,0.0
1.0,2.0,1834.3,1284.2,81709.0,1598.3,884.9,81839.0,152.97,165.36,-320.37,0.097988,0.0
1.0,3.0,1180.8,1401.4,82110.0,1310.6,1494.0,81313.0,-213.19,-325.91,607.78,0.022723,0.0
1.0,4.0,1332.0,1419.7,81557.0,1164.5,1536.7,81556.0,81.23,-348.34,-211.25,0.30295,0.0
1.0,5.0,1768.1,1458.6,81047.0,1437.4,1080.0,80583.0,245.85,146.1,260.83,0.31849,0.0
1.0,6.0,1320.0,1305.2,81302.0,1394.4,1186.8,81511.0,-160.32,-113.59,-419.83,0.33252,0.0
1.0,7.0,1706.8,1067.3,80582.0,1479.0,1096.8,80483.0,143.37,-262.79,-101.32,0.12464,0.0
1.0,8.0,1450.0,1641.1,81003.0,1535.1,1119.8,80193.0,-169.72,288.51,608.89,0.13867,0.0
1.0,9.0,1679.1,1290.2,80366.0,1354.6,1369.0,80242.0,240.42,-311.95,-73.54,0.11641,0.0
1.0,10.0,1275.1,1302.8,80301.0,1069.1,1246.4,79175.0,122.54,-177.29,936.18,0.13987,0.0
1.0,11.0,835.7,1226.0,79407.0,1194.0,1034.5,79917.0,-441.67,-42.77,-699.22,0.23734,0.0
1.0,12.0,1621.1,1070.0,79921.0,1285.6,600.02,79616.0,252.53,235.51,114.38,0.11267,0.0
1.0,13.0,900.42,1518.2,79776.0,1027.4,1130.3,79885.0,-210.67,154.6,-300.56,0.083339,0.0
1.0,14.0,870.54,1283.5,81117.0,902.36,1136.3,80464.0,-116.99,-85.36,450.21,0.19684,0.0
1.0,15.0,1263.7,946.9,79806.0,970.41,877.2,80098.0,209.59,-164.31,-484.91,0.15957,0.0
1.0,16.0,1242.1,1605.7,80464.0,869.94,1313.5,79806.0,288.0,59.46,463.34,0.11405,0.0
1.0,17.0,1369.5,1670.9,80002.0,1033.7,1158.9,79749.0,250.66,279.75,48.55,0.066713,0.0
1.0,18.0,1204.2,1722.5,80498.0,1224.8,1638.4,79996.0,-106.35,-147.22,294.18,0.11482,0.0
1.0,20.0,927.82,2254.1,80217.0,873.39,1935.1,80277.0,-31.6,88.71,-267.83,0.13906,0.0
1.0,21.0,588.41,2296.4,79674.0,633.42,2038.0,79346.0,-130.24,27.47,128.39,0.16186,0.0
1.0,22.0,1115.2,1927.4,79800.0,977.5,1806.0,80139.0,52.1,-109.47,-543.71,0.061326,0.0
1.0,23.0,876.36,2398.6,81056.0,1004.0,2180.8,80887.0,-215.35,-11.63,-48.48,0.047095,0.0
1.0,25.0,346.09,2062.5,80191.0,183.87,1822.7,79971.0,75.44,9.4,14.52,0.18828,0.0
1.0,26.0,652.22,2363.9,80280.0,242.18,1967.0,79329.0,323.67,166.8,748.38,0.1724,0.0
1.0,27.0,350.49,2067.5,80601.0,151.3,2119.2,79428.0,112.38,-281.46,968.87,0.19836,0.0
1.0,28.0,374.44,2206.4,80181.0,442.05,1749.2,79003.0,-153.75,226.99,978.19,0.12281,0.0
1.0,29.0,274.06,2510.7,78893.0,546.5,2106.2,78889.0,-357.8,174.31,-186.6,0.18685,0.0
1.0,30.0,247.68,2176.6,78317.0,392.32,2185.9,77778.0,-230.31,-239.57,346.01,0.082966,0.0
2.0,0.0,-1574.2,-360.41,80591.0,-1702.4,-799.78,80153.0,41.01,204.28,268.98,0.17704,0.0
2.0,1.0,-1677.6,-1017.2,80321.0,-1666.0,-1147.4,79950.0,-98.41,-105.58,205.12,0.19616,0.0
2.0,2.0,-1604.2,-723.92,80191.0,-2026.5,-1045.0,79903.0,335.29,85.34,123.17,0.13235,0.0
2.0,3.0,-1279.2,-745.49,79801.0,-1200.3,-1153.8,79281.0,-164.58,171.94,360.9,0.26603,0.0
2.0,4.0,-1825.7,-1000.2,79403.0,-1718.1,-1071.9,79510.0,-196.72,-162.53,-288.66,0.13985,0.0
2.0,5.0,-1863.3,-752.65,79147.0,-1677.3,-1171.3,78640.0,-274.32,183.9,332.26,0.30161,0.0
2.0,6.0,-1879.8,-857.68,79059.0,-1797.4,-668.4,79720.0,-171.41,-423.35,-842.26,0.40863,0.0
2.0,7.0,-1913.9,-472.8,79715.0,-2259.6,-896.02,78785.0,256.66,189.14,750.91,0.34942,0.0
2.0,8.0,-1424.6,-619.74,79885.0,-1645.7,-1029.4,79804.0,131.59,175.97,-106.6,0.21835,0.0
2.0,9.0,-1639.0,-557.44,79007.0,-1809.0,-1066.5,79177.0,81.75,274.08,-347.83,0.42903,0.0
2.0,10.0,-1749.1,-739.8,79152.0,-1593.4,-687.83,78648.0,-243.66,-286.89,328.71,0.16838,0.0
2.0,11.0,-1791.7,-1019.0,78534.0,-1980.2,-1273.1,78124.0,101.44,18.07,241.01,0.16757,0.0
2.0,12.0,-1634.2,-108.83,79215.0,-1750.5,-566.67,78910.0,28.2,223.78,127.19,0.11789,0.0
2.0,13.0,-1558.7,-294.33,78923.0,-1678.0,-807.36,78254.0,31.92,278.55,497.58,0.15352,0.0
2.0,14.0,-1295.0,-251.37,78113.0,-1529.9,-707.81,77800.0,148.59,221.02,149.49,0.14553,0.0
2.0,15.0,-1014.6,-1230.5,77529.0,-1351.2,-1437.0,77708.0,251.07,-30.43,-338.93,0.20855,0.0
2.0,16.0,-970.68,-1031.0,78150.0,-1131.1,-1220.1,77387.0,74.68,-47.41,600.31,0.27247,0.0
2.0,17.0,-853.69,-972.28,77736.0,-1120.2,-924.52,77082.0,179.93,-282.99,484.74,0.11191,0.0
2.0,18.0,-966.73,-1136.0,76928.0,-943.19,-1091.6,76694.0,-109.16,-280.62,70.61,0.058199,0.0
2.0,19.0,-943.17,-1103.1,77056.0,-1049.6,-1346.5,77198.0,20.27,7.78,-308.68,0.1339,0.0
2.0,20.0,-1338.8,-1575.7,76226.0,-1290.8,-1696.0,76029.0,-132.99,-116.84,42.95,0.15591,0.0
2.0,21.0,-830.38,-1300.5,75839.0,-1047.8,-1360.9,75853.0,133.2,-176.35,-164.82,0.1334,0.0
2.0,22.0,-1302.1,77.14,76349.0,-1062.0,-451.02,76182.0,-328.6,295.97,0.63,0.10683,0.0
2.0,23.0,-1242.6,488.56,76138.0,-1184.0,215.94,76568.0,-147.35,41.53,-598.0,0.096555,0.0
2.0,24.0,-1124.0,-475.57,77261.0,-1214.4,-683.39,76588.0,0.82,-24.38,498.34,0.17207,0.0
2.0,25.0,-1484.1,-107.55,74980.0,-1744.6,-115.27,75373.0,172.97,-225.58,-546.15,0.13077,0.0
2.0,26.0,-1190.6,261.93,75459.0,-1565.4,151.61,75728.0,286.89,-122.18,-426.47,0.080183,0.0
2.0,27.0,-1524.3,-285.11,74856.0,-1667.9,-450.36,74546.0,55.32,-68.18,150.66,0.19701,0.0
2.0,29.0,-1479.3,-605.97,75176.0,-1589.5,-612.99,74686.0,21.61,-226.83,327.82,0.37445,2.0
2.0,30.0,-1801.8,-621.45,75227.0,-1669.6,-506.9,74614.0,-220.8,-348.43,450.86,0.64357,2.0
2.0,31.0,-1068.6,-585.01,75405.0,-1270.1,-494.38,74649.0,113.16,-324.44,592.46,0.43439,2.0
2.0,32.0,-1205.2,-689.62,74995.0,-1612.6,-660.16,74466.0,319.4,-263.92,368.83,0.53249,2.0
2.0,33.0,-1828.1,-236.78,75286.0,-1569.2,-245.31,75176.0,-347.83,-224.79,-56.16,0.54974,2.0
2.0,34.0,-1470.0,-325.57,74601.0,-1417.5,-1043.2,74069.0,-141.25,483.71,364.78,0.34107,2.0
3.0,0.0,-973.66,785.01,82886.0,-1193.0,720.15,82684.0,124.32,-164.58,7.03,0.13331,0.0
3.0,1.0,-834.54,673.44,82402.0,-668.09,920.61,82373.0,-260.58,-477.19,-162.29,0.14813,0.0
3.0,2.0,-838.86,1262.2,82255.0,-1223.2,1004.7,82143.0,290.16,28.09,-76.68,0.25115,0.0
3.0,3.0,-664.16,1242.2,81568.0,-1112.5,1034.0,81751.0,355.1,-21.89,-365.42,0.23259,0.0
3.0,4.0,-327.38,972.49,81901.0,-568.57,431.34,81889.0,144.83,312.76,-197.09,0.15031,0.0
3.0,5.0,-215.25,1222.3,81650.0,-644.04,787.96,81132.0,333.18,205.79,314.28,0.087115,0.0
3.0,6.0,-473.05,1078.5,82202.0,-935.07,649.96,81662.0,365.45,200.57,330.97,0.1405,0.0
3.0,7.0,-662.7,1129.4,81373.0,-1252.3,835.32,81259.0,493.84,65.8,-88.49,0.13548,0.0
3.0,8.0,-290.08,893.96,82031.0,-866.27,754.42,81311.0,480.26,-88.66,513.67,0.13683,0.0
3.0,11.0,-985.3,544.18,80431.0,-804.2,369.47,80160.0,-274.76,-55.54,81.04,0.13515,0.0
3.0,12.0,-796.99,1163.6,79649.0,-438.22,536.0,79560.0,-451.28,397.11,-93.02,0.13017,0.0
3.0,13.0,-579.02,1099.0,79855.0,-436.64,1089.4,79717.0,-235.08,-220.03,-45.71,0.12221,0.0
3.0,14.0,-855.4,236.29,79644.0,-724.86,195.87,79142.0,-222.79,-190.96,322.74,0.146,0.0
3.0,15.0,-678.23,408.85,79317.0,-529.02,550.3,78989.0,-240.93,-372.9,151.56,0.10816,0.0
3.0,16.0,-237.84,1208.0,79663.0,-550.23,736.3,79656.0,219.99,241.69,-174.44,0.1661,0.0
3.0,17.0,-308.29,1319.2,78973.0,-572.54,692.83,79110.0,171.25,397.18,-323.88,0.12327,0.0
3.0,18.0,-604.51,1217.2,78907.0,-375.45,948.96,79062.0,-321.98,39.16,-340.48,0.20301,0.0
3.0,19.0,-588.62,880.44,79568.0,-620.26,996.7,79474.0,-62.08,-344.62,-99.1,0.16787,0.0
3.0,20.0,-1026.5,700.24,79302.0,-779.92,669.13,78887.0,-340.04,-198.16,227.72,0.08763,0.0
3.0,21.0,-1230.9,332.0,79604.0,-1201.6,338.23,78367.0,-122.74,-235.75,1050.8,0.15394,0.0
3.0,22.0,-986.9,141.99,79955.0,-1181.2,172.56,79430.0,99.78,-259.82,330.22,0.11021,0.0
3.0,23.0,-1131.7,539.85,80233.0,-1137.9,406.86,79639.0,-88.81,-95.35,396.36,0.16548,0.0
3.0,24.0,-1127.4,721.37,79784.0,-814.97,427.14,79591.0,-407.1,65.72,-1.05,0.14128,0.0
3.0,25.0,-1039.1,1120.9,80307.0,-927.06,538.18,80055.0,-207.56,355.34,52.39,0.17855,0.0
