cell_id,time_point,x_blue,y_blue,z_blue,x_green,y_green,z_green,x_Rij,y_Rij,z_Rij,red,state
0.0,0.0,-491.78,448.53,-1439.9,-164.48,654.17,-877.93,205.64,327.3,561.94,0.18699,0.0
0.0,1.0,-384.55,694.0,-792.95,22.306,708.55,-791.09,14.551,406.86,1.8553,0.11382,0.0
0.0,2.0,-836.1,6.3365,-2059.4,-429.24,429.58,-1316.0,423.25,406.86,743.31,0.21138,0.0
0.0,3.0,-85.195,457.46,-2028.9,42.792,576.95,-1472.5,119.49,127.99,556.46,0.21138,0.0
0.0,4.0,-366.88,306.4,-2059.3,-516.05,546.12,-1224.5,239.72,-149.17,834.8,0.12195,0.0
0.0,5.0,-685.69,424.43,-2206.8,-511.55,612.14,-1385.3,187.71,174.14,821.48,0.20325,0.0
0.0,6.0,-1187.4,443.71,-1619.7,-787.17,545.67,-1671.2,101.97,400.25,-51.473,0.13821,0.0
0.0,7.0,-809.13,549.34,-1807.3,-851.14,642.47,-1070.2,93.129,-42.008,737.07,0.3252,0.0
0.0,8.0,-1436.4,342.53,-1884.9,-1065.5,492.6,-1362.8,150.07,370.92,522.05,0.30894,0.0
0.0,9.0,-1537.2,712.76,-1674.1,-1044.1,853.4,-1372.8,140.64,493.05,301.26,0.15447,0.0
0.0,10.0,-1968.6,916.5,-2577.8,-1240.0,1230.0,-2752.0,313.54,728.66,-174.28,0.12195,0.0
0.0,11.0,-2240.2,866.17,-2868.5,-1806.0,678.06,-2911.3,-188.11,434.25,-42.811,0.097561,0.0
0.0,12.0,-1785.5,953.68,-2919.0,-1491.5,464.39,-2445.1,-489.28,293.98,473.88,0.13008,0.0
0.0,13.0,-1907.3,1101.9,-2972.7,-1387.1,976.25,-2804.2,-125.65,520.18,168.55,0.21138,0.0
0.0,14.0,-1553.5,365.32,-3125.5,-909.63,976.52,-2891.9,611.2,643.83,233.56,0.12295,0.0
0.0,15.0,-1313.3,914.5,-3258.9,-729.88,1094.3,-2853.8,179.85,583.37,405.16,0.12195,0.0
0.0,16.0,-1091.4,1161.5,-2536.0,-200.32,598.55,-2022.3,-562.93,891.06,513.76,0.065041,0.0
0.0,17.0,-1131.5,1167.0,-3274.4,-648.33,308.24,-2662.5,-858.71,483.13,611.97,0.14634,0.0
0.0,18.0,-1337.1,1237.4,-3343.9,-742.33,1121.4,-2776.4,-115.94,594.72,567.56,0.04878,0.0
0.0,19.0,-855.4,1490.3,-3378.3,-493.99,1829.1,-2735.4,338.82,361.41,642.9,0.089431,0.0
0.0,20.0,-798.05,1297.6,-2836.8,-868.39,1523.6,-1544.4,225.98,-70.342,1292.4,0.1626,0.0
0.0,21.0,-629.47,1632.8,-2782.2,-865.98,1384.3,-1887.5,-248.53,-236.51,894.64,0.097561,0.0
0.0,22.0,-944.19,1268.2,-2322.2,-1174.8,2282.7,-1271.3,1014.5,-230.64,1050.9,0.065041,0.0
0.0,23.0,-908.33,1370.1,-2403.3,-998.28,1648.2,-1949.7,278.1,-89.951,453.61,0.12195,0.0
0.0,24.0,-1478.2,2152.3,-1912.2,-1369.7,2190.1,-1666.6,37.804,108.58,245.63,0.14634,0.0
0.0,25.0,-1564.4,2061.5,-1877.4,-1332.0,1903.5,-1519.6,-157.99,232.35,357.81,0.10569,0.0
0.0,26.0,-1430.2,2294.3,-1390.2,-1318.4,2046.3,-1140.7,-248.01,111.76,249.43,0.073171,0.0
0.0,27.0,-1267.8,2419.2,-1162.3,-1433.6,1743.9,-534.79,-675.28,-165.77,627.5,0.073171,0.0
