cell_id,time_point,x_blue,y_blue,z_blue,x_green,y_green,z_green,x_Rij,y_Rij,z_Rij,red,state
0.0,129.0,-80.486,-822.18,106.52,-266.02,-776.05,43.837,185.54,-46.13,62.681,31.163,
0.0,130.0,-0.15846,-793.61,-337.08,-46.818,-793.69,-336.07,46.659,0.076805,-1.011,37.992,
0.0,131.0,-127.07,-636.23,120.58,-196.03,-695.91,-76.569,68.96,59.676,197.15,44.195,
0.0,132.0,-177.28,-536.7,192.81,-185.55,-538.36,-13.393,8.2683,1.6537,206.2,47.301,
0.0,133.0,0.65046,-336.43,76.185,-93.692,-208.05,-218.55,94.342,-128.39,294.73,63.634,
0.0,134.0,42.118,-442.19,72.139,80.148,-300.21,-30.198,-38.03,-141.98,102.34,61.78,
0.0,135.0,-350.8,-441.59,49.356,-153.15,-216.19,-40.121,-197.65,-225.4,89.477,57.041,
0.0,136.0,-154.71,-584.0,-213.99,9.5899,-376.21,-233.81,-164.3,-207.78,19.825,87.341,
0.0,137.0,378.25,-652.1,77.025,159.18,-436.7,43.808,219.06,-215.4,33.216,56.813,
0.0,138.0,29.36,-571.04,79.295,156.63,-599.27,-141.01,-127.27,28.237,220.31,44.423,
0.0,139.0,-145.32,-424.35,-70.167,-214.89,-306.06,-319.23,69.569,-118.29,249.07,53.976,
0.0,140.0,68.422,-401.36,46.831,289.13,-367.15,-236.24,-220.7,-34.211,283.07,83.171,
0.0,141.0,57.543,-264.82,134.93,206.08,-299.84,-169.95,-148.54,35.015,304.88,60.78,
1.0,0.0,760.77,-132.6,1275.3,289.47,220.95,555.03,471.3,-353.54,720.25,15.431,
1.0,1.0,582.32,-46.95,929.09,47.975,231.61,856.08,534.35,-278.56,73.006,19.301,
1.0,2.0,493.65,-181.23,868.94,93.98,73.427,611.97,399.67,-254.66,256.98,14.764,
1.0,3.0,569.95,-126.62,1606.3,160.22,407.77,1494.4,409.73,-534.39,111.95,11.114,
1.0,4.0,626.89,-305.37,1168.6,135.42,203.32,991.8,491.47,-508.69,176.83,12.878,
1.0,5.0,548.1,-250.02,945.03,255.99,203.04,1323.5,292.12,-453.06,-378.45,12.789,
1.0,6.0,329.0,-319.18,650.81,238.34,196.11,1763.4,90.663,-515.29,-1112.6,12.423,
1.0,7.0,756.9,-288.61,1221.0,277.87,-1.5429,2104.0,479.03,-287.07,-882.99,17.423,
1.0,8.0,399.36,-252.94,418.65,355.74,405.53,2226.2,43.621,-658.47,-1807.5,13.439,
1.0,9.0,308.51,-310.64,542.99,278.39,232.11,1577.9,30.126,-542.75,-1034.9,16.553,
1.0,10.0,206.46,-191.81,1187.9,536.52,-360.26,1704.4,-330.06,168.45,-516.51,11.756,
1.0,11.0,167.99,-241.91,1208.0,876.28,-303.38,1907.5,-708.3,61.474,-699.51,6.0488,
1.0,12.0,232.54,-293.63,1313.9,832.69,-149.88,2037.2,-600.15,-143.75,-723.27,14.301,
1.0,13.0,634.4,-88.954,1338.9,388.49,-92.154,2204.4,245.92,3.1993,-865.48,8.3443,
1.0,14.0,800.59,-123.5,1461.3,689.78,-177.41,1933.3,110.8,53.91,-471.99,10.276,
1.0,15.0,1268.0,-277.56,1098.5,431.88,42.889,1488.3,836.16,-320.44,-389.84,15.293,
1.0,16.0,716.7,-169.12,712.05,394.19,-7.5374,1418.9,322.51,-161.58,-706.89,13.691,
1.0,17.0,582.8,-311.73,1237.5,37.8,28.649,1076.9,545.0,-340.38,160.58,13.13,
1.0,18.0,136.38,-75.794,1353.5,311.61,558.53,1062.7,-175.23,-634.33,290.72,9.2114,
1.0,19.0,163.85,-282.91,888.79,121.65,134.87,1017.7,42.205,-417.78,-128.88,14.472,
1.0,20.0,-238.79,-276.19,1703.3,85.847,184.37,1122.6,-324.64,-460.56,580.68,14.911,
1.0,21.0,255.52,-246.26,1776.7,-115.44,-46.86,1413.6,370.96,-199.4,363.12,10.496,
2.0,0.0,-1133.4,188.02,876.64,-1519.7,64.629,252.08,386.34,123.39,624.56,17.618,
2.0,1.0,-1230.0,26.184,906.51,-1583.1,96.205,466.48,353.12,-70.021,440.03,18.675,
2.0,2.0,-989.17,47.217,595.61,-1599.7,-44.789,710.39,610.53,92.006,-114.78,14.585,
2.0,3.0,-1153.5,89.574,1089.7,-1555.2,-125.41,347.82,401.72,214.99,741.87,14.943,
2.0,4.0,-1751.2,294.94,1037.9,-1597.7,669.91,180.33,-153.52,-374.97,857.62,20.52,
2.0,6.0,-1617.6,112.9,1314.6,-1372.1,540.63,867.62,-245.47,-427.73,446.99,14.943,
2.0,7.0,-1216.4,254.96,1075.3,-1145.2,507.06,421.73,-71.143,-252.11,653.55,20.585,
2.0,8.0,-1605.8,341.56,1079.2,-1698.7,617.83,634.22,92.859,-276.27,444.96,18.894,
2.0,9.0,-1629.8,158.63,1248.9,-1509.9,550.99,467.78,-120.0,-392.37,781.12,15.049,
2.0,10.0,-1860.6,494.39,1405.1,-1906.6,493.05,669.77,46.069,1.3408,735.35,14.431,
2.0,11.0,-1659.1,376.99,1483.2,-1717.7,288.99,324.46,58.593,87.991,1158.8,11.659,
2.0,12.0,-1549.9,197.52,1527.6,-2074.0,372.08,418.08,524.1,-174.55,1109.5,17.398,
2.0,14.0,-1389.7,-77.386,1213.9,-1669.4,272.99,317.84,279.75,-350.38,896.04,19.187,
2.0,15.0,-1501.9,64.703,995.74,-1869.5,471.93,178.5,367.67,-407.23,817.24,9.9187,
2.0,16.0,-1407.1,172.14,725.88,-1811.2,355.17,267.6,404.11,-183.03,458.28,10.878,
2.0,17.0,-1410.7,185.23,1325.4,-1860.4,719.8,592.04,449.76,-534.56,733.4,13.39,
2.0,18.0,-1193.6,276.55,1652.1,-1818.5,368.22,701.21,624.98,-91.671,950.94,12.439,
2.0,20.0,-1325.6,-94.867,1155.7,-1695.1,399.5,445.27,369.47,-494.37,710.48,9.5041,
2.0,21.0,-939.1,-475.17,703.58,-1379.3,349.67,585.99,440.22,-824.83,117.58,7.8455,
2.0,23.0,-874.7,-408.5,491.04,-1352.5,295.67,304.36,477.79,-704.17,186.68,13.35,
2.0,24.0,-939.65,-499.1,940.18,-1475.5,435.65,605.05,535.87,-934.75,335.13,13.764,
2.0,25.0,-1085.0,-318.7,971.85,-1097.9,54.64,442.99,12.904,-373.34,528.86,8.6179,
2.0,27.0,-1401.9,-110.86,458.18,-1445.4,-347.0,-317.19,43.403,236.14,775.37,13.943,
2.0,28.0,-1642.4,-119.36,392.21,-1343.1,-302.61,-334.67,-299.33,183.25,726.88,9.8049,
3.0,34.0,-676.38,625.76,1983.0,-617.79,467.19,1503.2,-58.588,158.57,479.77,9.122,
3.0,35.0,-921.56,1009.3,1415.9,-632.2,1018.7,1109.1,-289.36,-9.4297,306.78,10.008,
3.0,36.0,-815.88,1127.0,1372.9,-1168.2,880.91,1172.4,352.34,246.08,200.5,7.6911,
3.0,37.0,-409.71,1020.7,1337.6,-1074.9,844.57,1140.2,665.23,176.14,197.43,9.1626,
3.0,38.0,-544.26,839.27,1289.6,-1148.4,829.69,603.13,604.16,9.5804,686.51,6.9593,
3.0,39.0,-1090.7,983.58,1399.6,-1119.2,497.44,844.67,28.573,486.14,554.91,7.7724,
3.0,40.0,-1079.1,939.14,1474.5,-1151.4,760.38,978.95,72.278,178.76,495.5,6.4715,
3.0,41.0,-1080.8,1203.6,1796.9,-1093.2,938.29,1638.2,12.428,265.3,158.66,7.187,
3.0,42.0,-674.68,522.34,1256.8,-939.26,458.15,1031.3,264.57,64.19,225.45,10.48,
